3.4370691e-1 3.5545533e-6
5.6261952e-1 4.3670055e-6
7.3994550e-1 5.2059942e-6
1.1004127e+0 6.2152860e-6
2.8438510e+0 6.3817713e-6
4.8858769e+0 6.7725736e-6
6.9279028e+0 7.2362945e-6
8.8255431e+0 7.0990277e-6
1.1011955e+1 6.9120001e-6
1.3053981e+1 6.8129466e-6
1.5096007e+1 6.6811886e-6
1.7138032e+1 6.5631146e-6
1.9180058e+1 6.4910691e-6
2.1222084e+1 6.3980479e-6
2.3264110e+1 6.3063597e-6
2.5306136e+1 6.2265501e-6
2.7348162e+1 6.1269063e-6
2.9322683e+1 6.3063597e-6
2.9986245e+1 7.7560075e-6
3.1060936e+1 7.7055516e-6
3.3102962e+1 7.6339178e-6
3.5144988e+1 7.8175827e-6
3.7187014e+1 7.7712563e-6
3.9229040e+1 7.7252044e-6
4.1271066e+1 7.6404024e-6
4.3313092e+1 7.5629501e-6
4.5355118e+1 7.5053765e-6
4.7397144e+1 7.4356037e-6
4.9439170e+1 7.3664795e-6
5.1481196e+1 7.2794318e-6
5.3523222e+1 7.2117595e-6
5.5565248e+1 7.1507852e-6
5.7607273e+1 7.0722887e-6
5.9649299e+1 6.9887175e-6
6.1691325e+1 6.9178714e-6
6.3733351e+1 6.8419317e-6
6.5775377e+1 6.7898469e-6
6.7817403e+1 6.7039186e-6
6.9859429e+1 6.6811886e-6
7.1901455e+1 6.5686895e-6
7.3943481e+1 6.5076245e-6
7.5985507e+1 6.4774885e-6
7.8027533e+1 6.3980479e-6
8.0069559e+1 6.2636681e-6
8.2111585e+1 6.1896520e-6
8.4153610e+1 6.1061327e-6
8.6195636e+1 6.0288570e-6
8.8237662e+1 5.9626763e-6
9.0279688e+1 5.8772273e-6
9.2321714e+1 5.7979236e-6
9.4363740e+1 5.7342779e-6
9.6405766e+1 5.6521020e-6
9.8447792e+1 5.5663753e-6
9.9901962e+1 5.5034133e-6
